,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer_Type,Business,Class_level,label
0,38,759,0,4,0,3,2,0,2,2,3,4,4,4,4,2,0,0.0,0,1,1,0.0,1,1
1,54,867,5,4,5,2,3,5,4,4,4,5,1,5,4,3,0,0.0,1,0,1,0.0,1,1
2,68,1235,0,5,0,3,2,0,2,2,3,1,5,5,1,2,1,0.0,0,1,1,0.0,1,1
3,44,528,2,3,2,1,5,4,1,3,3,2,3,3,3,3,9,0.0,1,0,1,0.0,1,0
4,49,678,4,5,4,4,3,4,3,3,5,5,4,4,4,3,0,0.0,0,1,1,0.0,1,1
5,66,762,2,5,3,4,4,3,4,4,5,3,5,5,5,4,2,29.0,0,1,1,0.0,1,0
6,61,290,5,4,5,4,5,5,4,1,1,5,5,3,1,5,0,2.0,1,0,1,0.0,2,1
7,24,342,4,5,4,1,3,4,3,3,2,1,4,5,3,3,37,30.0,0,1,1,0.0,1,1
8,33,528,3,4,3,2,2,3,2,2,3,2,5,4,5,2,25,77.0,0,1,1,0.0,1,0
9,59,860,4,4,4,4,1,4,1,1,1,1,4,4,4,1,0,0.0,0,1,1,0.0,1,1
10,52,308,5,1,2,3,3,3,3,5,5,2,2,4,5,1,0,0.0,1,0,1,0.0,1,1
11,54,602,2,5,2,2,3,2,3,3,3,3,4,4,4,3,85,73.0,0,1,1,0.0,1,0
12,13,584,3,5,3,3,4,3,5,4,3,2,4,3,5,4,11,3.0,0,1,1,0.0,0,0
13,37,715,4,3,4,3,3,4,1,3,3,2,2,3,3,3,55,55.0,1,0,1,0.0,1,0
14,64,919,4,4,5,3,4,5,1,4,4,5,4,5,4,5,0,1.0,1,0,1,0.0,1,0
15,55,1042,5,5,4,4,2,5,4,2,2,4,2,4,2,5,0,0.0,1,0,1,0.0,1,1
16,29,479,4,2,4,3,5,4,5,5,3,1,3,3,4,5,0,0.0,1,0,1,0.0,1,1
17,24,404,0,1,0,3,5,0,5,5,1,1,4,4,3,5,11,1.0,0,1,1,0.0,1,1
18,21,770,1,4,1,2,4,1,4,4,4,4,4,5,5,4,6,0.0,0,1,1,0.0,1,0
19,26,214,4,5,4,5,1,4,1,1,5,4,5,5,4,1,0,0.0,1,0,1,0.0,1,1
20,11,116,5,4,5,3,5,5,2,5,3,3,3,2,4,5,0,0.0,1,0,1,0.0,1,1
21,36,526,3,4,4,3,2,4,2,2,5,3,5,5,5,2,0,0.0,1,0,1,0.0,1,0
22,25,920,5,5,5,3,1,5,1,1,2,2,1,3,5,1,54,43.0,1,0,1,0.0,1,1
23,11,1045,4,5,4,4,1,4,1,1,5,3,3,2,2,1,10,4.0,1,0,1,0.0,1,0
24,57,2586,5,3,5,3,3,3,2,3,3,5,3,5,3,3,0,0.0,1,0,1,0.0,1,1
25,9,1190,4,4,4,3,4,4,4,4,4,4,4,5,5,4,0,0.0,1,0,1,0.0,1,1
26,20,909,4,5,5,4,1,5,1,1,5,4,5,4,4,1,41,32.0,0,1,1,0.0,1,0
27,29,395,3,5,3,4,2,3,3,2,4,5,5,4,5,2,0,0.0,1,0,1,0.0,1,0
28,57,272,4,0,4,1,3,4,5,3,3,4,3,4,3,3,0,0.0,1,0,1,0.0,1,1
29,49,1144,0,2,0,4,1,2,4,3,3,2,3,2,3,2,12,0.0,1,0,1,0.0,1,1
30,28,327,1,0,2,1,3,2,3,3,3,4,5,5,5,3,25,27.0,0,1,1,0.0,1,0
31,27,451,3,4,3,5,3,3,3,3,5,1,4,3,3,3,0,0.0,1,0,1,0.0,2,0
32,59,236,4,5,4,2,3,4,5,3,3,4,3,3,3,3,16,22.0,1,0,1,0.0,2,1
33,35,1608,4,5,4,2,2,3,4,2,2,4,2,4,2,3,3,2.0,0,1,1,0.0,2,0
34,65,1023,5,4,5,5,3,4,4,4,4,5,1,4,4,1,1,0.0,1,0,1,0.0,1,1
